product_id,category,price_tier,key_actives,concern_tags,irritation_risk,is_new
84,sunscreen,premium,"ceramides,peptides",dullness,0.12,False
85,cleanser,mid,retinol,"acne,aging",0.65,False
86,mask,premium,"peptides,aha_bha","sensitivity,pigmentation",0.55,False
87,moisturizer,mid,niacinamide,dehydration,0.05,False
88,mask,premium,"peptides,niacinamide",aging,0.12,False
89,sunscreen,budget,centella,"aging,sensitivity",0.1,False
90,cleanser,mid,hyaluronic_acid,"acne,aging",0.05,False
91,eye_cream,premium,"retinol,centella","aging,acne",0.65,False
92,mask,premium,"aha_bha,peptides","acne,pigmentation",0.55,False
93,cleanser,budget,niacinamide,acne,0.05,False
94,moisturizer,budget,"aha_bha,niacinamide","dullness,dehydration",0.55,False
95,toner,premium,"niacinamide,aha_bha",acne,0.55,False
96,cleanser,mid,"ceramides,retinol",dullness,0.65,False
97,serum,premium,ceramides,sensitivity,0.08,False
98,eye_cream,mid,"peptides,aha_bha","dehydration,aging",0.55,False
99,mask,premium,"retinol,ceramides",acne,0.65,True
100,eye_cream,premium,"salicylic_acid,ceramides",dullness,0.4,False
101,eye_cream,mid,"vitamin_c,hyaluronic_acid",sensitivity,0.3,False
102,moisturizer,mid,"peptides,salicylic_acid",acne,0.4,False
103,mask,budget,"salicylic_acid,retinol",sensitivity,0.65,False
104,toner,premium,centella,"pigmentation,dehydration",0.1,False
105,toner,mid,"retinol,ceramides",dullness,0.65,False
106,toner,budget,"salicylic_acid,vitamin_c",acne,0.4,False
107,serum,budget,"salicylic_acid,vitamin_c","aging,pigmentation",0.4,False
108,eye_cream,premium,"ceramides,vitamin_c",acne,0.3,False
109,serum,mid,retinol,acne,0.65,False
110,serum,budget,"retinol,hyaluronic_acid",acne,0.65,True
111,eye_cream,premium,"peptides,salicylic_acid","pigmentation,dullness",0.4,False
112,serum,budget,centella,"dullness,acne",0.1,True
113,cleanser,premium,"retinol,niacinamide","aging,acne",0.65,False
114,toner,mid,azelaic_acid,"pigmentation,dullness",0.25,False
115,moisturizer,premium,niacinamide,aging,0.05,False
116,cleanser,budget,salicylic_acid,"dehydration,sensitivity",0.4,False
117,serum,premium,azelaic_acid,"acne,pigmentation",0.25,False
118,mask,mid,"niacinamide,centella","dehydration,sensitivity",0.1,False
119,serum,premium,vitamin_c,"pigmentation,sensitivity",0.3,False
120,serum,budget,"vitamin_c,salicylic_acid","acne,dullness",0.4,False
121,toner,budget,ceramides,"aging,acne",0.08,False
122,mask,premium,"niacinamide,salicylic_acid","pigmentation,acne",0.4,False
123,sunscreen,premium,retinol,"aging,sensitivity",0.65,False
124,serum,premium,vitamin_c,dehydration,0.3,False
125,moisturizer,premium,"aha_bha,ceramides","sensitivity,acne",0.55,False
126,mask,mid,"aha_bha,vitamin_c",pigmentation,0.55,True
127,sunscreen,premium,"ceramides,vitamin_c",acne,0.3,False
128,cleanser,mid,centella,"sensitivity,dullness",0.1,False
129,eye_cream,budget,"peptides,salicylic_acid",dehydration,0.4,False
130,cleanser,mid,"azelaic_acid,vitamin_c",acne,0.3,False
131,toner,budget,"salicylic_acid,ceramides","dullness,acne",0.4,False
132,cleanser,budget,"azelaic_acid,centella",aging,0.25,False
133,moisturizer,budget,"retinol,salicylic_acid","aging,dullness",0.65,False
134,toner,mid,"aha_bha,vitamin_c","aging,pigmentation",0.55,False
135,serum,mid,hyaluronic_acid,"acne,pigmentation",0.05,False
136,serum,mid,retinol,"aging,pigmentation",0.65,False
137,toner,premium,"centella,salicylic_acid",dehydration,0.4,False
138,moisturizer,mid,"hyaluronic_acid,aha_bha","aging,sensitivity",0.55,False
139,serum,mid,hyaluronic_acid,"aging,acne",0.05,False
140,eye_cream,mid,"azelaic_acid,retinol","dehydration,aging",0.65,False
141,moisturizer,budget,retinol,"acne,aging",0.65,False
142,moisturizer,mid,"azelaic_acid,hyaluronic_acid",aging,0.25,False
143,mask,budget,vitamin_c,"dullness,dehydration",0.3,False
144,serum,premium,salicylic_acid,"dullness,sensitivity",0.4,False
145,sunscreen,mid,"centella,aha_bha","aging,acne",0.55,False
146,toner,premium,ceramides,"sensitivity,dehydration",0.08,False
147,cleanser,mid,"salicylic_acid,azelaic_acid","aging,dullness",0.4,False
148,serum,premium,peptides,"pigmentation,aging",0.12,False
149,eye_cream,budget,"peptides,hyaluronic_acid","acne,pigmentation",0.12,False
150,mask,premium,"azelaic_acid,vitamin_c",acne,0.3,False
151,moisturizer,budget,"hyaluronic_acid,peptides","dehydration,aging",0.12,False
152,sunscreen,mid,peptides,dehydration,0.12,False
153,moisturizer,premium,centella,"pigmentation,sensitivity",0.1,True
154,eye_cream,premium,"niacinamide,vitamin_c","acne,sensitivity",0.3,False
155,mask,mid,aha_bha,pigmentation,0.55,False
156,serum,mid,"peptides,ceramides","dehydration,aging",0.12,False
157,cleanser,mid,salicylic_acid,acne,0.4,False
158,sunscreen,budget,azelaic_acid,"dehydration,aging",0.25,False
159,mask,mid,"niacinamide,peptides","dehydration,pigmentation",0.12,True
160,mask,premium,vitamin_c,dehydration,0.3,False
161,cleanser,premium,centella,aging,0.1,False
162,toner,premium,aha_bha,"acne,dullness",0.55,False
163,sunscreen,budget,"salicylic_acid,niacinamide","sensitivity,dullness",0.4,False
164,serum,mid,retinol,"pigmentation,sensitivity",0.65,False
165,sunscreen,budget,"azelaic_acid,niacinamide","dullness,pigmentation",0.25,False
166,cleanser,mid,"ceramides,retinol","dullness,aging",0.65,False
167,cleanser,premium,"ceramides,retinol","pigmentation,dullness",0.65,True
168,sunscreen,premium,vitamin_c,acne,0.3,False
169,serum,premium,retinol,pigmentation,0.65,False
170,sunscreen,budget,"azelaic_acid,centella","dehydration,dullness",0.25,False
171,eye_cream,budget,hyaluronic_acid,"dehydration,dullness",0.05,False
172,serum,premium,"vitamin_c,niacinamide","sensitivity,dullness",0.3,False
173,mask,mid,peptides,dehydration,0.12,False
174,mask,mid,niacinamide,"dehydration,pigmentation",0.05,False
175,cleanser,mid,peptides,dullness,0.12,False
176,serum,premium,azelaic_acid,pigmentation,0.25,False
177,serum,premium,niacinamide,"dehydration,dullness",0.05,False
178,eye_cream,budget,"hyaluronic_acid,ceramides",aging,0.08,False
179,toner,mid,"salicylic_acid,aha_bha",aging,0.55,False
180,toner,mid,"retinol,hyaluronic_acid","dehydration,acne",0.65,False
181,cleanser,mid,"peptides,aha_bha",pigmentation,0.55,False
182,toner,premium,hyaluronic_acid,"pigmentation,aging",0.05,False
183,sunscreen,budget,"retinol,hyaluronic_acid",dullness,0.65,False
184,toner,budget,centella,acne,0.1,False
185,sunscreen,mid,"retinol,aha_bha","sensitivity,aging",0.65,False
186,cleanser,premium,salicylic_acid,"dehydration,pigmentation",0.4,False
187,toner,budget,ceramides,pigmentation,0.08,False
188,moisturizer,mid,peptides,"dullness,dehydration",0.12,False
189,serum,mid,hyaluronic_acid,pigmentation,0.05,True
190,eye_cream,budget,"peptides,centella",pigmentation,0.12,True
191,serum,budget,hyaluronic_acid,"sensitivity,pigmentation",0.05,False
192,eye_cream,mid,hyaluronic_acid,acne,0.05,False
193,sunscreen,premium,"niacinamide,aha_bha",pigmentation,0.55,False
194,serum,budget,ceramides,"acne,sensitivity",0.08,False
195,mask,premium,centella,aging,0.1,False
196,eye_cream,premium,salicylic_acid,aging,0.4,False
197,eye_cream,mid,retinol,dullness,0.65,True
198,moisturizer,mid,"azelaic_acid,hyaluronic_acid","pigmentation,dehydration",0.25,False
199,eye_cream,premium,"aha_bha,peptides","sensitivity,pigmentation",0.55,False
200,toner,premium,hyaluronic_acid,"acne,aging",0.05,False
201,moisturizer,budget,"ceramides,azelaic_acid",aging,0.25,False
202,eye_cream,premium,aha_bha,"sensitivity,pigmentation",0.55,True
203,sunscreen,premium,ceramides,"aging,sensitivity",0.08,False
204,serum,premium,peptides,"dullness,sensitivity",0.12,False
205,mask,mid,retinol,"pigmentation,acne",0.65,False
206,cleanser,mid,"peptides,vitamin_c","dullness,aging",0.3,False
207,moisturizer,mid,centella,pigmentation,0.1,False
208,sunscreen,budget,"hyaluronic_acid,peptides","dullness,aging",0.12,False
209,toner,mid,"retinol,vitamin_c",dullness,0.65,False
210,toner,budget,"ceramides,niacinamide",dehydration,0.08,False
211,mask,premium,peptides,acne,0.12,False
212,sunscreen,budget,"azelaic_acid,vitamin_c","sensitivity,dullness",0.3,False
213,sunscreen,mid,"hyaluronic_acid,peptides","acne,aging",0.12,False
214,toner,premium,"ceramides,centella","dehydration,pigmentation",0.1,False
215,sunscreen,mid,"niacinamide,aha_bha","sensitivity,pigmentation",0.55,False
216,eye_cream,premium,"vitamin_c,aha_bha",sensitivity,0.55,False
217,moisturizer,budget,"retinol,salicylic_acid",pigmentation,0.65,False
218,cleanser,budget,"hyaluronic_acid,salicylic_acid",sensitivity,0.4,False
219,toner,mid,"aha_bha,hyaluronic_acid","sensitivity,dullness",0.55,False
220,eye_cream,budget,"centella,salicylic_acid","dehydration,acne",0.4,False
221,serum,premium,"centella,niacinamide","dehydration,aging",0.1,False
222,serum,budget,salicylic_acid,"acne,aging",0.4,False
223,moisturizer,premium,"aha_bha,hyaluronic_acid",acne,0.55,True
224,eye_cream,mid,centella,dehydration,0.1,False
225,serum,budget,aha_bha,"sensitivity,pigmentation",0.55,False
226,mask,mid,"ceramides,vitamin_c",dullness,0.3,True
227,serum,mid,"salicylic_acid,azelaic_acid",aging,0.4,False
228,mask,premium,"ceramides,peptides","aging,acne",0.12,False
229,serum,budget,ceramides,"dullness,aging",0.08,False
230,eye_cream,mid,"centella,peptides",dehydration,0.12,False
231,sunscreen,mid,azelaic_acid,dehydration,0.25,False
232,cleanser,mid,"azelaic_acid,ceramides",sensitivity,0.25,False
233,eye_cream,premium,"ceramides,salicylic_acid",pigmentation,0.4,False
234,toner,premium,niacinamide,acne,0.05,False
235,cleanser,mid,niacinamide,"acne,dehydration",0.05,False
236,moisturizer,budget,niacinamide,"sensitivity,dullness",0.05,False
237,eye_cream,budget,vitamin_c,"sensitivity,dullness",0.3,False
238,moisturizer,premium,niacinamide,aging,0.05,False
239,eye_cream,mid,salicylic_acid,sensitivity,0.4,False
240,sunscreen,premium,"centella,azelaic_acid",dehydration,0.25,False
241,cleanser,premium,vitamin_c,acne,0.3,False
242,toner,premium,retinol,"dullness,pigmentation",0.65,False
243,cleanser,budget,"ceramides,aha_bha",pigmentation,0.55,False
244,toner,premium,centella,pigmentation,0.1,False
245,cleanser,premium,"hyaluronic_acid,vitamin_c",aging,0.3,False
246,toner,mid,"niacinamide,ceramides",pigmentation,0.08,False
247,serum,budget,"azelaic_acid,peptides",aging,0.25,False
248,serum,premium,"centella,peptides",sensitivity,0.12,False
249,serum,premium,"hyaluronic_acid,ceramides",dehydration,0.08,False
250,moisturizer,premium,centella,dullness,0.1,True
251,toner,budget,"centella,niacinamide",dehydration,0.1,False
252,eye_cream,premium,salicylic_acid,"acne,sensitivity",0.4,False
253,toner,premium,niacinamide,dehydration,0.05,False
254,toner,mid,aha_bha,dehydration,0.55,False
255,mask,budget,"retinol,aha_bha",sensitivity,0.65,True
256,sunscreen,budget,hyaluronic_acid,pigmentation,0.05,False
257,cleanser,premium,"aha_bha,vitamin_c","dehydration,dullness",0.55,False
258,serum,mid,aha_bha,"aging,dullness",0.55,False
259,eye_cream,mid,azelaic_acid,"sensitivity,aging",0.25,False
260,mask,premium,ceramides,dullness,0.08,False
261,eye_cream,mid,peptides,"dehydration,sensitivity",0.12,False
262,serum,budget,"vitamin_c,salicylic_acid","dehydration,aging",0.4,True
263,serum,mid,retinol,dullness,0.65,False
264,eye_cream,premium,retinol,pigmentation,0.65,False
265,eye_cream,premium,niacinamide,"aging,pigmentation",0.05,False
266,sunscreen,mid,"vitamin_c,hyaluronic_acid","dullness,aging",0.3,False
267,eye_cream,mid,salicylic_acid,dehydration,0.4,False
268,toner,premium,"ceramides,retinol",dehydration,0.65,False
269,mask,mid,aha_bha,sensitivity,0.55,False
270,serum,mid,vitamin_c,"dehydration,pigmentation",0.3,False
271,toner,budget,"peptides,vitamin_c",sensitivity,0.3,False
272,serum,budget,niacinamide,"dullness,sensitivity",0.05,False
273,mask,premium,"azelaic_acid,salicylic_acid",acne,0.4,False
274,serum,premium,"retinol,salicylic_acid","dehydration,aging",0.65,False
275,mask,mid,"hyaluronic_acid,centella","aging,sensitivity",0.1,False
276,sunscreen,mid,"azelaic_acid,vitamin_c","pigmentation,acne",0.3,False
277,toner,mid,"hyaluronic_acid,peptides",sensitivity,0.12,False
278,toner,premium,"centella,retinol","dullness,dehydration",0.65,False
279,eye_cream,mid,centella,dullness,0.1,False
280,sunscreen,premium,salicylic_acid,sensitivity,0.4,False
281,moisturizer,premium,vitamin_c,"aging,dullness",0.3,False
282,mask,mid,"centella,azelaic_acid",dehydration,0.25,True
283,moisturizer,budget,salicylic_acid,sensitivity,0.4,False
284,serum,budget,"vitamin_c,peptides",sensitivity,0.3,False
285,toner,mid,"azelaic_acid,hyaluronic_acid","pigmentation,dullness",0.25,False
286,eye_cream,budget,hyaluronic_acid,"acne,aging",0.05,False
287,toner,budget,"azelaic_acid,retinol",dullness,0.65,False
288,toner,mid,vitamin_c,"sensitivity,dullness",0.3,False
289,serum,premium,"azelaic_acid,centella",dehydration,0.25,True
290,moisturizer,premium,"salicylic_acid,hyaluronic_acid",dullness,0.4,False
291,toner,mid,aha_bha,"dullness,acne",0.55,False
292,sunscreen,mid,"salicylic_acid,vitamin_c",aging,0.4,False
293,eye_cream,mid,"peptides,aha_bha","dullness,pigmentation",0.55,False
294,sunscreen,mid,centella,sensitivity,0.1,False
295,toner,mid,"azelaic_acid,centella",sensitivity,0.25,False
296,mask,premium,"centella,hyaluronic_acid","dehydration,dullness",0.1,False
297,toner,budget,"azelaic_acid,vitamin_c",sensitivity,0.3,False
298,moisturizer,budget,azelaic_acid,sensitivity,0.25,False
299,mask,mid,niacinamide,"aging,acne",0.05,False
300,toner,mid,ceramides,"pigmentation,dullness",0.08,False
